title,authors,year,venue,theme,source
"FRCSyn Challenge at WACV 2024: Face Recognition Challenge in the Era of Synthetic Data","Pietro Melzi; Rubén Tolosana; Rubén Vera-Rodríguez; Minchul Kim; Christian Rathgeb; Xiaoming Liu; Ivan DeAndres-Tame; Aythami Morales; Julián Fiérrez; Javier Ortega-García; Weisong Zhao; Xiangyu Zhu; Zheyu Yan; Xiaoyu Zhang; Jinlin Wu; Zhen Lei; Suvidha Tripathi; Mahak Kothari; Md Haider Zama; Debayan Deb; Bernardo Biesseck; Pedro Marques‐Vidal; Roger Granada; Guilherme Fickel; Gustavo Führ; David Menotti; Alexander Unnervik; Anjith George; Christophe Ecabert; Hatef Otroshi Shahreza; Parsa Rahimi; Sébastien Marcel; Ioannis Sarridis; Christos Koutlis; Georgia Baltsou; Symeon Papadopoulos; Christos Diou; Nicolò Di Domenico; Guido Borghi; Lorenzo Pellegrini; Enrique Mas-Candela; Ángela Sánchez-Pérez; Andrea Atzori; Gianni Fenu; Fadi Boutros; Mirko Marras; Naser Damer","2024","","","fairface-citing"
"Findings of the CONSTRAINT 2022 Shared Task on Detecting the Hero, the Villain, and the Victim in Memes","Shivam Sharma; Tharun Suresh; Atharva Kulkarni; Himanshi Mathur; Preslav Nakov; Md Shad Akhtar; Tanmoy Chakraborty","2022","","","fairface-citing"
"Bias Mimicking: A Simple Sampling Approach for Bias Mitigation","Maan Qraitem; Kate Saenko; Bryan A. Plummer","2023","","","fairface-citing"
"Fair Representation: Guaranteeing Approximate Multiple Group Fairness for Unknown Tasks","Xudong Shen; Yongkang Wong; Mohan Kankanhalli","2022","IEEE Transactions on Pattern Analysis and Machine Intelligence","","fairface-citing"
"Dataset Diversity","Abhishek Mandal; Susan Leavy; Suzanne Little","2021","","","fairface-citing"
"Evaluation of Gender Bias in Facial Recognition with Traditional Machine Learning Algorithms","Mustafa Atay; Hailey Gipson; Tony Gwyn; Kaushik Roy","2021","2021 IEEE Symposium Series on Computational Intelligence (SSCI)","","fairface-citing"
"Fairness Indicators for Systematic Assessments of Visual Feature Extractors","Priya Goyal; Adriana Romero; Caner Hazırbaş; Levent Sagun; Nicolas Usunier","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"Characterizing the Entities in Harmful Memes: Who is the Hero, the Villain, the Victim?","Shivam Sharma; Atharva Kulkarni; Tharun Suresh; Himanshi Mathur; Preslav Nakov; Md Shad Akhtar; Tanmoy Chakraborty","2023","","","fairface-citing"
"A novel approach for bias mitigation of gender classification algorithms using consistency regularization","Anoop Krishnan; Ajita Rattani","2023","Image and Vision Computing","","fairface-citing"
"Detecting racial inequalities in criminal justice: towards an equitable deep learning approach for generating and interpreting racial categories using mugshots","Rahul Kumar Dass; Nick Petersen; Marisa Omori; Tamara Rice Lave; Ubbo Visser","2022","AI & Society","","fairface-citing"
"The Impact of Racial Distribution in Training Data on Face Recognition Bias: A Closer Look","Manideep Kolla; Aravinth Savadamuthu","2023","","","fairface-citing"
"Artificial Intelligent Agent Architecture and Clinical Decision-Making in the Healthcare Sector","Kian A Huang; Haris K Choudhary; Paul C. Kuo","2024","Cureus","","fairface-citing"
"Overwriting Pretrained Bias with Finetuning Data","Angelina Wang; Olga Russakovsky","2023","","","fairface-citing"
"Fairness Feedback Loops: Training on Synthetic Data Amplifies Bias","Sierra Wyllie; Ilia Shumailov; Nicolas Papernot","2024","","","fairface-citing"
"<scp>QuoTe</scp> : Quality-oriented Testing for Deep Learning Systems","Jialuo Chen; Jingyi Wang; Xingjun Ma; Youcheng Sun; Jun Sun; Peixin Zhang; Peng Cheng","2023","ACM Transactions on Software Engineering and Methodology","","fairface-citing"
"Benchmarking Algorithmic Bias in Face Recognition: An Experimental Approach Using Synthetic Faces and Human Evaluation","Hao Liang; Pietro Perona; Guha Balakrishnan","2023","","","fairface-citing"
"FaceChain-ImagineID: Freely Crafting High-Fidelity Diverse Talking Faces from Disentangled Audio","Chao Xu; Yang Liu; Jiazheng Xing; Weida Wang; Mingze Sun; Jun Dan; Tianxin Huang; Siyuan Li; Zhi-Qi Cheng; Ying Tai; Baigui Sun","2024","","","fairface-citing"
"Second FRCSyn-onGoing: Winning solutions and post-challenge analysis to improve face recognition with synthetic data","Ivan DeAndres-Tame; Rubén Tolosana; Pietro Melzi; Rubén Vera-Rodríguez; Minchul Kim; Christian Rathgeb; Xiaoming Liu; Luis F. Gomez; Aythami Morales; Julián Fiérrez; Javier Ortega-García; Z. Zhong; Yuge Huang; Yuxi Mi; Shouhong Ding; Shuigeng Zhou; Shuai He; Lingzhi Fu; Heng Cong; Rongyu Zhang; Zhihong Xiao; Evgeny Smirnov; Anton Pimenov; Aleksey Grigorev; Denis Timoshenko; Kaleb Mesfin Asfaw; Cheng-Yaw Low; Hao Liu; Chuyi Wang; Qing Zuo; Zhixiang He; Hatef Otroshi Shahreza; Anjith George; Alexander Unnervik; Parsa Rahimi; Sébastien Marcel; Pedro C. Neto; Marco Huber; Jan Niklas Kolf; Naser Damer; Fadi Boutros; Jaime S. Cardoso; Ana F. Sequeira; Andrea Atzori; Gianni Fenu; Mirko Marras; Vitomir Štruc; Yu Jiang; Zhangjie Li; Jichun Li; Weisong Zhao; Zhen Lei; Xiangyu Zhu; Xiaoyu Zhang; Bernardo Biesseck; Pedro Marques‐Vidal; Luiz Coelho; Roger Granada; David Menotti","2025","Information Fusion","","fairface-citing"
"Assessing Multilingual Fairness in Pre-trained Multimodal Representations","Jialu Wang; Yang Liu; Xin Wang","2022","Findings of the Association for Computational Linguistics: ACL 2022","","fairface-citing"
"In-Group Bias in Deep Learning-Based Face Recognition Models Due to Ethnicity and Age","Shruti Nagpal; Maneet Singh; Richa Singh; Mayank Vatsa; Nalini Ratha","2023","IEEE Transactions on Technology and Society","","fairface-citing"
"Fine-Grained Visual Text Prompting","Lingfeng Yang; Xiang Li; Yueze Wang; Xinlong Wang; Jian Yang","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence","","fairface-citing"
"Human Attributes Prediction under Privacy-preserving Conditions","Anshu Singh; Shaojing Fan; Mohan Kankanhalli","2021","","","fairface-citing"
"FairCaipi: A Combination of Explanatory Interactive and Fair Machine Learning for Human and Machine Bias Reduction","Louisa Heidrich; Emanuel Slany; Stephan Scheele; Ute Schmid","2023","Machine Learning and Knowledge Extraction","","fairface-citing"
"MultiFair: Model Fairness With Multiple Sensitive Attributes","Huan Tian; Bo Liu; Tianqing Zhu; Wanlei Zhou; Philip S. Yu","2024","IEEE Transactions on Neural Networks and Learning Systems","","fairface-citing"
"Real-time self-supervised achromatic face colorization","Hitika Tiwari; Venkatesh K. Subramanian; Yong‐Sheng Chen","2022","The Visual Computer","","fairface-citing"
"BanglaAbuseMeme: A Dataset for Bengali Abusive Meme Classification","Mithun Das; Animesh Mukherjee","2023","","","fairface-citing"
"LLM-Guided Counterfactual Data Generation for Fairer AI","Ashish Mishra; Gyanaranjan Nayak; Suparna Bhattacharya; Tarun Kumar; Arpit Shah; Martin Foltín","2024","","","fairface-citing"
"Mandatory age verification for pornography access: Why it can't and won't ‘save the children’","Zahra Stardust; Abdul Karim Obeid; Alan McKee; Daniel Angus","2024","Big Data & Society","","fairface-citing"
"On the use of aspect-based sentiment analysis of Twitter data to explore the experiences of African Americans during COVID-19","Meghna Chaudhary; Kristin Kosyluk; Sylvia Thomas; Tempestt Neal","2023","Scientific Reports","","fairface-citing"
"Improving Fairness using Vision-Language Driven Image Augmentation","Moreno D’Incà; Christos Tzelepis; Ioannis Patras; Nicu Sebe","2024","","","fairface-citing"
"AI Prediction for Post–Lower Blepharoplasty Age Reduction","Tz-Wei Chiou; Cheng-I Yen; Yen-Chang Hsiao; Hung-Chang Chen","2024","Aesthetic Surgery Journal","","fairface-citing"
"Gender Bias in Natural Language Processing and Computer Vision: A Comparative Survey","Marion Bartl; Abhishek Mandal; Susan Leavy; Suzanne Little","2024","ACM Computing Surveys","","fairface-citing"
"Less can be more: representational vs. stereotypical gender bias in facial expression recognition","Iris Dominguez-Catena; Daniel Paternain; Aránzazu Jurío; Mikel Galar","2024","Progress in Artificial Intelligence","","fairface-citing"
"Ethnicity Classification Based on Facial Images using Deep Learning Approach","Abdul-aziz Kalkatawi; Usman Saeed","2024","International Journal of Advanced Computer Science and Applications","","fairface-citing"
"Promoting fairness in activity recognition algorithms for patient’s monitoring and evaluation systems in healthcare","Ciro Mennella; Massimo Esposito; Giuseppe De Pietro; Umberto Maniscalco","2024","Computers in Biology and Medicine","","fairface-citing"
"Privacy-preserving face attribute classification via differential privacy","Xiaoting Zhang; Tao Wang; Junhao Ji; Yushu Zhang; Rushi Lan","2025","Neurocomputing","","fairface-citing"
"Artificial Intelligence Predicts Fitzpatrick Skin Type, Pigmentation, Redness, and Wrinkle Severity From Color Photographs of the Face","Rachel Lea Draelos; Chelsea Kesty; Katarina Kesty","2025","Journal of Cosmetic Dermatology","","fairface-citing"
"Foundation Models and Biometrics: A Survey and Outlook","Hatef Otroshi Shahreza; Sébastien Marcel","2025","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Optimum Music: Gesture Controlled, Personalized Music Recommendation System","Ravin Wijekoon; Dilshan Ekanayaka; Mahela Wijekoon; Dewmal Perera; Pradeepa Samarasinghe; Oshada Seneweera; Ajantha Peiris","2021","","","fairface-citing"
"ChildNet: Structural Kinship Face Synthesis Model With Appearance Control Mechanisms","Martin Pernuš; Mansi Bhatnagar; B A Samad; Divyanshu Singh; Peter Peer; Vitomir Štruc; Simon Dobrišek","2023","IEEE Access","","fairface-citing"
"VLSlice: Interactive Vision-and-Language Slice Discovery","Eric Slyman; Minsuk Kahng; Stefan Lee","2023","","","fairface-citing"
"FairDeDup: Detecting and Mitigating Vision-Language Fairness Disparities in Semantic Dataset Deduplication","Eric Slyman; Stefan Lee; Scott Cohen; Kushal Kafle","2024","","","fairface-citing"
"Attribute annotation and bias evaluation in visual datasets for autonomous driving","David Fernández Llorca; Pedro Frau; I. Parra; Rubén Izquierdo; Emília Gómez","2024","Journal Of Big Data","","fairface-citing"
"USER-VLM 360: Personalized Vision Language Models with User-aware Tuning for Social Human-Robot Interactions","Hamed Rahimi; Adil Bahaj; Mouad Abrini; Mahdi Khoramshahi; Mounir Ghogho; Mohamed Chétouani","2025","","","fairface-citing"
"Generating Synthetic Data from Large Language Models","Sunil Choenni; Tony Busker; Mortaza S. Bargh","2023","","","fairface-citing"
"An empirical investigation of challenges of specifying training data and runtime monitors for critical software with machine learning and their relation to architectural decisions","Hans-Martin Heyn; Eric Knauss; Iswarya Malleswaran; Shruthi Dinakaran","2024","Requirements Engineering","","fairface-citing"
"Changes in Perceived Emotions in Facial Paralysis Patients After Depressor Anguli Oris Excision","Samuel P. O’Rourke; Taylor Stack; Jonas R. Miller; Matthew Q. Miller","2024","The Laryngoscope","","fairface-citing"
"Toward Identity-Invariant Facial Expression Recognition: Disentangled Representation via Mutual Information Perspective","Dae Ha Kim; Seongho Kim; Byung Cheol Song","2024","IEEE Access","","fairface-citing"
"OV-DAR: Open-Vocabulary Object Detection and Attributes Recognition","Keyan Chen; Xiaolong Jiang; Haochen Wang; Cilin Yan; Yan Gao; Xu Tang; Yao Hu; Weidi Xie","2024","International Journal of Computer Vision","","fairface-citing"
"Utility-Fairness Trade-Offs and how to Find Them","Sepehr Dehdashtian; Bashir Sadeghi; Vishnu Naresh Boddeti","2024","","","fairface-citing"
"Who is a scientist? Gender and racial biases in google vision AI","Ehsan Mohammadi; Yizhou Cai; Alamir Novin; Valerie Vera; Ehsan Soltanmohammadi","2025","AI and Ethics","","fairface-citing"
"Fair human-centric image dataset for ethical AI benchmarking","Alice Xiang; Jerone T. A. Andrews; R. D. Bourke; William Thong; Julienne LaChance; Tiffany Georgievski; Apostolos Modas; Aida Rahmattalabbi; Yunhao Ba; Shruti Nagpal; Orestis Papakyriakopoulos; Dora Zhao; Jinru Xue; Victoria Matthews; Linxia Gong; Austin Hoag; Mircea Cimpoi; Swami Sankaranarayanan; Wiebke Hutiri; Morgan Klaus Scheuerman; Albert S. Abedi; Peter Stone; Peter R. Wurman; Hiroaki Kitano; Michael Spranger","2025","Nature","","fairface-citing"
"Multi-Directional Subspace Editing in Style-Space","Chen Naveh","2023","","","fairface-citing"
"Can the accuracy bias by facial hairstyle be reduced through balancing the training data?","Kağan Öztürk; Haiyu Wu; Kevin W. Bowyer","2024","","","fairface-citing"
"Demographic Fairness and Accountability of Audio- and Video-Based Unimodal and Bi-modal Deepfake Detectors","Vinaya Sree Katamneni; Aakash Varma Nadimpalli; Ajita Rattani","2024","","","fairface-citing"
"Evaluating the substitutability of generative AI-generated faces in biometric applications: From a lens of age, gender, ethnicity detection","Tanusree Ghosh; Baisnabi Seth; Subhashis Kar; Ruchira Naskar","2025","Pattern Recognition Letters","","fairface-citing"
"TETRIS: Towards Exploring the Robustness of Interactive Segmentation","Andrey Moskalenko; Vlad Shakhuro; Anna Vorontsova; Anton Konushin; A. N. Antonov; Alexander Krapukhin; Denis Shepelev; Konstantin Soshin","2024","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"HiTS: Hierarchical Text-Guided Stylization for Face Sketch-to-Photo Synthesis","Yeji Choi; Haksub Kim; Kwanghoon Sohn; Ig-Jae Kim","2025","IEEE Access","","fairface-citing"
"Invisible-Face: Rethinking Facial Attribute Privacy in Social Media Photo Sharing","Yong Yang; Changjiang Li; Yi Jiang; Jinbao Li; Xuhong Zhang; Zonghui Wang; Shouling Ji; Wenzhi Chen","2025","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Liberatory Collections and Ethical AI: Reimagining AI Development from Black Community Archives and Datasets","Payton Croskey; Fabian Offert; Jennifer Jacobs; Kai M. Thaler","2025","","","fairface-citing"
"HiDF: A Human-Indistinguishable Deepfake Dataset","Chaewon Kang; Seoyoon Jeong; J. Lee; Daejin Choi; Simon S. Woo; Jinyoung Han","2025","","","fairface-citing"
"Navigating the muddy waters of bias in artificial intelligence research: Understanding divergent meanings and conceptions","Mohammad Hossein Jarrahi; Amir Karami; Patrick Conway; Ali Memariani; Christoph Lutz","2025","Technology in Society","","fairface-citing"
"T2IBias: Uncovering Societal Bias Encoded in the Latent Space of Text-to-Image Generative Models","Abu Sufian; Cosimo Distante; Marco Leo; Hanan Salam","2026","Lecture notes in computer science","","fairface-citing"
"Perception of Faces and Bodies","Kerri L. Johnson; Kurt Hugenberg","2024","Oxford University Press eBooks","","fairface-citing"
"Visual Domain Bridge: A source-free domain adaptation for cross-domain few-shot learning","Moslem Yazdanpanah; Parham Moradi","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)","","fairface-citing"
"Evidence for Hypodescent in Visual Semantic AI","Robert E. Wolfe; Mahzarin R. Banaji; Aylin Caliskan","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"Natural Contrast Statistics Facilitate Human Face Categorization","Joan Liu‐Shuang; Yufang Yang; Bruno Rossion; Valérie Goffaux","2022","eNeuro","","fairface-citing"
"Gender Stereotyping Impact in Facial Expression Recognition","Iris Dominguez-Catena; Daniel Paternain; Mikel Galar","2023","Communications in computer and information science","","fairface-citing"
"Logical Consistency and Greater Descriptive Power for Facial Hair Attribute Learning","Haiyu Wu; Grace Bezold; Aman Bhatta; Kevin W. Bowyer","2023","","","fairface-citing"
"Measuring Representation of Race, Gender, and Age in Children’s Books: Face Detection and Feature Classification in Illustrated Images","Teodora Szasz; Emileigh Harrison; Ping-Jung Liu; Ping‐Chang Lin; Hakizumwami Birali Runesha; Anjali Adukia","2022","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","fairface-citing"
"FAFD: Fast and Accurate Face Detector","Nam‐Ho Kim; Jun-Hwa Kim; Chee Sun Won","2022","Electronics","","fairface-citing"
"Explaining Deep Convolutional Neural Networks via Latent Visual-Semantic Filter Attention","Yu Yang; Seungbae Kim; Jungseock Joo","2022","2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","fairface-citing"
"Kaleidoscope: Semantically-grounded, context-specific ML model evaluation","Harini Suresh; Divya Shanmugam; Tiffany Chen; Annie G Bryan; Alexander D’Amour; John V. Guttag; Arvind Satyanarayan","2023","","","fairface-citing"
"Zero-Shot Model Diagnosis","Jinqi Luo; Zhaoning Wang; Chen Wu; Dong Huang; Fernando De la Torre","2023","","","fairface-citing"
"Face Image Analysis Using Machine Learning: A Survey on Recent Trends and Applications","Muhammad Hameed Siddiqi; Khalil Khan; Rehan Ullah Khan; Amjad Alsirhani","2022","Electronics","","fairface-citing"
"Subverting Fair Image Search with Generative Adversarial Perturbations","Avijit Ghosh; Matthew Jagielski; Christo Wilson","2022","2022 ACM Conference on Fairness, Accountability, and Transparency","","fairface-citing"
"Protecting Sensitive Attributes by Adversarial Training Through Class-Overlapping Techniques","Tsung-Hsien Lin; Ying-Shuo Lee; Fu‐Chieh Chang; J. Morris Chang; Pei-Yuan Wu","2023","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Racial Bias in the Beautyverse: Evaluation of Augmented-Reality Beauty Filters","Piera Riccio; Nuria Oliver","2023","Lecture notes in computer science","","fairface-citing"
"The Casual Conversations v2 Dataset : A diverse, large benchmark for measuring fairness and robustness in audio/vision/speech models","Bilal Porgali; Vítor Albiero; Jordan Ryda; Cristian Canton Ferrer; Caner Hazırbaş","2023","","","fairface-citing"
"Latent Space Smoothing for Individually Fair Representations","Momchil Peychev; Anian Ruoss; Mislav Balunović; Maximilian Baader; Martin Vechev","2022","Lecture notes in computer science","","fairface-citing"
"Canonical Saliency Maps: Decoding Deep Face Models","Thrupthi Ann John; Vineeth N Balasubramanian; C. V. Jawahar","2021","IEEE Transactions on Biometrics Behavior and Identity Science","","fairface-citing"
"Conditional Generative Adversarial Networks with Total Variation and Color Correction for Generating Indonesian Face Photo from Sketch","Mia Rizkinia; Nathaniel Faustine; Masahiro Okuda","2022","Applied Sciences","","fairface-citing"
"People Taking Photos That Faces Never Share: Privacy Protection and Fairness Enhancement from Camera to User","Junjie Zhu; Lin Gu; Xiaoxiao Wu; Zheng Li; Tatsuya Harada; Yingying Zhu","2023","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Classification Utility, Fairness, and Compactness via Tunable Information Bottleneck and Rényi Measures","Adam Gronowski; William Paul; Fady Alajaji; Bahman Gharesifard; Philippe Burlina","2023","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"A model for data ethics instruction for non-experts","Leigh Phan; Ibraheem Ali; Stephanie Labou; Erin D. Foster","2022","IASSIST Quarterly","","fairface-citing"
"Compact-Fusion Feature Framework for Ethnicity Classification","Tjokorda Agung Budi Wirayuda; Rinaldi Munir; Achmad Imam Kistijantoro","2023","Informatics","","fairface-citing"
"Fundamentals of Task-Agnostic Data Valuation","Mohammad Mohammadi Amiri; Frederic Berdoz; Ramesh Raskar","2023","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Flickr Africa: Examining Geo-Diversity in Large-Scale, Human-Centric Visual Data","Keziah Naggita; Julienne LaChance; Alice Xiang","2023","","","fairface-citing"
"Facial Expression Recognition in the Wild Using FAM, RRDB and Vision Transformer Based Convolutional Neural Networks","Kuan-Hsien Liu; Xiang-Kun Shih; Tsung-Jung Liu; Wen-Ren Liu","2023","","","fairface-citing"
"Toward responsible face datasets: modeling the distribution of a disentangled latent space for sampling face images from demographic groups","Parsa Rahimi; Christophe Ecabert; Sébastien Marce","2023","","","fairface-citing"
"Fair Sampling in Diffusion Models through Switching Mechanism","Yujin Choi; J.-G. Park; Hoki Kim; Jaewook Lee; Saerom Park","2024","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Algorithmic Fairness Generalization under Covariate and Dependence Shifts Simultaneously","Chen Zhao; Kai Jiang; Xintao Wu; Haoliang Wang; Latifur Khan; Christan Grant; Feng Chen","2024","","","fairface-citing"
"FairSSD: Understanding Bias in Synthetic Speech Detectors","Amit Kumar Singh Yadav; Kratika Bhagtani; Davide Salvi; Paolo Bestagini; Edward J. Delp","2024","","","fairface-citing"
"Measuring diversity in Hollywood through the large-scale computational analysis of film","David Bamman; Rachael Samberg; Richard Jean So; Naitian Zhou","2024","Proceedings of the National Academy of Sciences","","fairface-citing"
"Are Face Detection Models Biased?","Surbhi Mittal; Kartik Thakral; Puspita Majumdar; Mayank Vatsa; Richa Singh","2023","","","fairface-citing"
"Evaluating the Fairness of Discriminative Foundation Models in Computer Vision","Junaid Ali; Matthäus Kleindeßner; Florian Wenzel; Kailash Budhathoki; Volkan Cevher; Chris Russell","2023","","","fairface-citing"
"Attention-Enabled Lightweight Neural Network Architecture for Detection of Action Unit Activation","Mohammad Mahdi Deramgozin; Slaviša Jovanović; Miguel Arevalillo‐Herráez; Naeem Ramzan; Hassan Rabah","2023","IEEE Access","","fairface-citing"
"Ethnic representation analysis of commercial movie posters","Dima Kagan; Mor Levy; Michael Fire; Galit Fuhrmann Alpert","2024","Humanities and Social Sciences Communications","","fairface-citing"
"Evaluating and mitigating unfairness in multimodal remote mental health assessments","Zifan Jiang; Salman Seyedi; Emily Griner; Ahmed Abbasi; Ali Bahrami Rad; Hyeokhyen Kwon; Robert O. Cotes; Gari D. Clifford","2024","PLOS Digital Health","","fairface-citing"
"A Picture is Worth 500 Labels: A Case Study of Demographic Disparities in Local Machine Learning Models for Instagram and TikTok","Jack West; Lea Thiemt; Shimaa Ahmed; Maggie Bartig; Kassem Fawaz; Suman Banerjee","2024","","","fairface-citing"
"AFed: Algorithmic Fair Federated Learning","Huiqiang Chen; Tianqing Zhu; Wanlei Zhou; Wei Zhao","2025","IEEE Transactions on Neural Networks and Learning Systems","","fairface-citing"
"Add-Remove-or-Relabel: Practitioner-Friendly Bias Mitigation via Influential Fairness","Brianna Richardson; Prasanna Sattigeri; Dennis Wei; Karthikeyan Natesan Ramamurthy; Kush R. Varshney; Amit Dhurandhar; Juan E. Gilbert","2023","","","fairface-citing"
"Evaluation of targeted dataset collection on racial equity in face recognition","Rachel Hong; Tadayoshi Kohno; Jamie Morgenstern","2023","","","fairface-citing"
"Migration and emotions in the media: can socioeconomic indicators predict emotions in images associated with immigrants?","Juan Sebastián Olier; Camilla Spadavecchia","2024","Journal of Computational Social Science","","fairface-citing"
"Mitigating Social Biases in Text-to-Image Diffusion Models via Linguistic-Aligned Attention Guidance","Yue Jiang; Yueming Lyu; Ziwen He; Bo Peng; Jing Dong","2024","","","fairface-citing"
"From joiners to founders: Startup employment and underrepresented entrepreneurs","Christopher M. Law; Travis Howell; Chris B. Bingham; Y. Sekou Bermiss","2025","Strategic Management Journal","","fairface-citing"
"FSErasing: Improving Face Recognition with Data Augmentation Using Face Parsing","Hiroya Kawai; Koichi Ito; Hwann-Tzong Chen; Takafumi Aoki","2024","IET Biometrics","","fairface-citing"
"AnyFace++: Deep Multi-Task, Multi-Domain Learning for Efficient Face AI","Tomiris Rakhimzhanova; Askat Kuzdeuov; Hüseyin Atakan Varol","2024","Sensors","","fairface-citing"
"Facial mask-wearing prediction and adaptive gender classification using convolutional neural networks","Mohamed Oulad-Kaddour; Hamid Haddadou; Daniel Palacios‐Alonso; Cristina Conde; Enrique Cabello","2024","EAI Endorsed Transactions on Industrial Networks and Intelligent Systems","","fairface-citing"
"FaceX: Understanding Face Attribute Classifiers through Summary Model Explanations","Ioannis Sarridis; Christos Koutlis; Symeon Papadopoulos; Christos Diou","2024","","","fairface-citing"
"Bias-aware face mask detection dataset","Alperen Kantarcı; Ferda Ofli; Muhammad Imran; Hazım Kemal Ekenel","2024","Multimedia Tools and Applications","","fairface-citing"
"Facial Data Minimization: Shallow Model as Your Privacy Filter","Yuwen Pu; Jiahao Chen; Jiayu Pan; Diqun Yan; Xuhong Zhang; Shouling Ji","2025","IEEE Transactions on Dependable and Secure Computing","","fairface-citing"
"Interactive Discovery and Exploration of Visual Bias in Generative Text‐to‐Image Models","Johannes Eschner; Roberto Labadie; Matthias Zeppelzauer; Manuela Waldner","2025","Computer Graphics Forum","","fairface-citing"
"Beyond the Algorithm: A Perspective on Tackling Bias and Cultural Sensitivity in AI-Guided Aesthetic Standards for Cosmetic Surgery in the Middle East and North Africa (MENA) Region","Abdulrahman Makhseed; Husain Arian; Ali Shuaib","2025","Clinical Cosmetic and Investigational Dermatology","","fairface-citing"
"Do Existing Testing Tools Really Uncover Gender Bias in Text-to-Image Models?","Yunbo Lyu; Zhou Yang; Yuqing Niu; Jing Jiang; David Lo","2025","","","fairface-citing"
"Social Perception of Faces in a Vision-Language Model","Carina Ines Hausladen; Manuel Knott; Colin F. Camerer; Pietro Perona","2025","","","fairface-citing"
"FaDE: A Face Segment Driven Identity Anonymization Framework For Fair Face Recognition","Ziyi Kou; Yijun Tian; Meng Jiang; Xiangliang Zhang","2024","","","fairface-citing"
"GENIE: Socially Unbiased Generative Text-to-Image Editing","Julia Kaiwen Lau; Raphaël C.‐W. Phan; Sailaja Rajanala; Ingemar J. Cox; Arghya Pal","2025","","","fairface-citing"
"Campus Internationalization or Campus Whitening?: AI Analysis of Image Data on Japanese University Websites","Takeshi Yanagiura; Radomir Ray Mitic; Yukikazu Hidaka","2025","Innovative Higher Education","","fairface-citing"
"FaiResGAN: Fair and robust blind face restoration with biometrics preservation","George Azzopardi; Antonio Greco; Mario Vento","2025","Image and Vision Computing","","fairface-citing"
"A retrieval-augmented prompting network for hateful meme detection","Qiuhua Kuang; Yi‐Hao Lin; Junxi Liu; Xiazhi Lai; Runlu Zhong","2025","Frontiers in Physics","","fairface-citing"
"Measuring Text-Image Retrieval Fairness with Synthetic Data","Lluís Gómez","2025","","","fairface-citing"
"Fairness in Machine Learning: A Review for Statisticians","Xianwen He; Yao Li","2025","Journal of the American Statistical Association","","fairface-citing"
"Data Bias Mitigation and Evaluation Framework for Diffusion-Based Generative Face Models","Hao Yu; Margrit Betke; Sarah Adel Bargal","2025","","","fairface-citing"
"FaceLLM: A Multimodal Large Language Model for Face Understanding","Hatef Otroshi Shahreza; Sébastien Marcel","2025","","","fairface-citing"
"An Investigation of Challenges Encountered When Specifying Training Data and Runtime Monitors for Safety Critical ML Applications","Hans-Martin Heyn; Eric Knauss; Iswarya Malleswaran; Shruthi Dinakaran","2023","Lecture notes in computer science","","fairface-citing"
"Two-Face: Adversarial Audit of Commercial Face Recognition Systems","Siddharth D Jaiswal; Karthikeya Duggirala; Abhisek Dash; Animesh Mukherjee","2022","Proceedings of the International AAAI Conference on Web and Social Media","","fairface-citing"
"MilaNLP at SemEval-2022 Task 5: Using Perceiver IO for Detecting Misogynous Memes with Text and Image Modalities","Giuseppe Attanasio; Debora Nozza; Federico Bianchi","2022","Proceedings of the 16th International Workshop on Semantic Evaluation (SemEval-2022)","","fairface-citing"
"SACN: A Novel Rotating Face Detector Based on Architecture Search","Anping Song; Xiaokang Xu; Xinyi Zhai","2021","Electronics","","fairface-citing"
"Talk2Face: A Unified Sequence-based Framework for Diverse Face Generation and Analysis Tasks","Yudong Li; Xianxu Hou; Zhe Zhao; Linlin Shen; Xuefeng Yang; Kimmo Yan","2022","Proceedings of the 30th ACM International Conference on Multimedia","","fairface-citing"
"OneFace: One Threshold for All","Jiaheng Liu; Zhipeng Yu; Haoyu Qin; Yichao Wu; Ding Liang; Gangming Zhao; Ke Xu","2022","Lecture notes in computer science","","fairface-citing"
"On bias and fairness in deep learning-based facial analysis","Surbhi Mittal; Puspita Majumdar; Mayank Vatsa; Richa Singh","2023","Handbook of statistics","","fairface-citing"
"RAI2: Responsible Identity Audit Governing the Artificial Intelligence","Tian Dong; Shaofeng Li; Guoxing Chen; Minhui Xue; Haojin Zhu; Zhen Liu","2023","","","fairface-citing"
